Distribution statistics of daily log FX changes (all currencies, weekdays only)
Daily log change = log(level_t) - log(level_{t-1})

currency         p01         p02         p05         p10         p25         p50         p75         p90         p95         p98         p99        mean        std     skewness      kurtosis  n_log_changes
     BYR -0.02631643 -0.01890158 -0.01098650 -0.00694539 -0.00242989  0.00006865  0.00310065  0.00799531  0.01250938  0.02429127  0.02939575  0.00066824 0.01341044  11.94998762  404.14419091           4302
     BZD -0.01185872 -0.00949683 -0.00593802 -0.00346979 -0.00006322  0.00000000  0.00006251  0.00322293  0.00587763  0.00961115  0.01234362  0.00000668 0.00407536   2.98498676   88.99609757           6886
     CAD -0.01414763 -0.01162310 -0.00804338 -0.00597111 -0.00275169  0.00000000  0.00277180  0.00575423  0.00823222  0.01147537  0.01399446 -0.00000649 0.00526807  -0.04010350    5.59928747           6886
     CDF -0.02284661 -0.01457977 -0.00955356 -0.00635047 -0.00223840  0.00000066  0.00257083  0.00692552  0.01057228  0.01841391  0.02576457  0.00090340 0.05220682  78.24910939 6362.54937578           6878
     CHF -0.01628756 -0.01376038 -0.00991909 -0.00709961 -0.00324779  0.00011550  0.00314036  0.00671149  0.00934629  0.01260047  0.01461070 -0.00010159 0.00622883  -0.84111822   25.25780110           6886
     CLF -0.02257123 -0.01821419 -0.01319575 -0.00972252 -0.00441322 -0.00007571  0.00427111  0.00954473  0.01343844  0.01880642  0.02373001 -0.00006698 0.00943229  -0.51197477   34.38501567           6886
     CLP -0.01877375 -0.01539925 -0.01122378 -0.00813890 -0.00376358  0.00000946  0.00377618  0.00808759  0.01190795  0.01598582  0.02084836  0.00007669 0.00737376  -0.32122698   12.49707587           6886
     CNH -0.00775529 -0.00608536 -0.00423282 -0.00281588 -0.00132641 -0.00000919  0.00138086  0.00292546  0.00438921  0.00610074  0.00752118  0.00002047 0.00278691   0.20882014    9.78604299           3734
     CNY -0.00643471 -0.00496294 -0.00302532 -0.00182848 -0.00063848 -0.00000218  0.00053886  0.00175672  0.00301853  0.00500562  0.00672424 -0.00002887 0.00206647  -0.19227341   11.75293358           6886
     COP -0.02072287 -0.01704036 -0.01207719 -0.00843584 -0.00365794  0.00000000  0.00358244  0.00884664  0.01285732  0.01785697  0.02227117  0.00009641 0.00782739   0.16113125    4.90951973           6886
     CRC -0.01466635 -0.01150950 -0.00729613 -0.00486568 -0.00160608 -0.00000038  0.00158823  0.00510073  0.00769900  0.01218198  0.01577476  0.00006267 0.00528544   0.46254447   17.00107887           6886
     CUP -0.01221089 -0.00935739 -0.00581069 -0.00304857 -0.00011495  0.00000000  0.00012655  0.00309157  0.00590728  0.00936556  0.01141555  0.00002047 0.05369180   3.98932064 3417.29716384           6886
     CVE -0.02463603 -0.01596323 -0.01027048 -0.00684228 -0.00273202 -0.00000014  0.00269623  0.00698432  0.01057346  0.01606655  0.02339759 -0.00002014 0.00886491  -1.37792071   58.27004064           6886
     CYP -0.01607328 -0.01394145 -0.01033615 -0.00748234 -0.00352285  0.00001145  0.00341365  0.00750844  0.01039839  0.01327129  0.01659047 -0.00002649 0.00635406  -0.16316431    2.88952298           4805
     CZK -0.01782830 -0.01477891 -0.01106344 -0.00795282 -0.00374042 -0.00011221  0.00360314  0.00793576  0.01091271  0.01478308  0.01819721 -0.00007734 0.00692811  -0.02766926    4.10819762           6886
     DEM -0.01552637 -0.01318478 -0.00994487 -0.00725031 -0.00345345  0.00000000  0.00336476  0.00727918  0.01015268  0.01309394  0.01595909 -0.00002948 0.00614011  -0.14696978    2.53731125           4805
