Distribution statistics of daily log FX changes (all currencies, weekdays only)
Daily log change = log(level_t) - log(level_{t-1})

currency         p01         p02         p05         p10         p25         p50         p75         p90         p95         p98         p99        mean        std     skewness      kurtosis  n_log_changes
     NLG -0.01554456 -0.01320035 -0.00994860 -0.00725078 -0.00345084  0.00000000  0.00335257  0.00729830  0.01015112  0.01310670  0.01594929 -0.00002949 0.00614030  -0.14728706    2.53616618           4805
     NOK -0.01863510 -0.01558989 -0.01162231 -0.00850618 -0.00422419 -0.00002234  0.00421321  0.00851873  0.01169371  0.01670589  0.02057215  0.00002237 0.00752983   0.21176557    5.57822515           6886
     NPR -0.02135528 -0.01599122 -0.01000505 -0.00619273 -0.00224660  0.00001976  0.00251296  0.00669813  0.01034192  0.01585482  0.02190100  0.00011755 0.00760376  -0.10072560   27.58798670           6886
     NZD -0.01947031 -0.01550903 -0.01186150 -0.00877311 -0.00446243 -0.00012257  0.00410620  0.00882961  0.01234852  0.01709343  0.02100387 -0.00001569 0.00775307   0.31566314    4.63676435           6886
     OMR -0.00291641 -0.00237956 -0.00118486 -0.00055034 -0.00015715  0.00000000  0.00016196  0.00055637  0.00117172  0.00230791  0.00273650  0.00000003 0.00108038   0.02970644   44.61047305           6886
     PAB -0.00027704 -0.00012685  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00013225  0.00027847  0.00000000 0.00093021  -0.27892885  645.62617272           6886
     PEN -0.01400035 -0.01061248 -0.00676140 -0.00423740 -0.00152732  0.00000000  0.00162709  0.00429832  0.00672718  0.01028853  0.01360694 -0.00000438 0.00495989  -0.25650977   75.86090209           6886
     PGK -0.03354342 -0.02506283 -0.01361490 -0.00831609 -0.00234950  0.00000352  0.00273718  0.00832006  0.01395181  0.02601643  0.03483321  0.00006981 0.00991642  -0.09386075   10.32857179           6886
     PHP -0.01047733 -0.00818833 -0.00572817 -0.00397972 -0.00186773  0.00000027  0.00193693  0.00433994  0.00607162  0.00868584  0.01041524  0.00006266 0.00417595  -3.08203904   86.12896502           6886
     PKR -0.01079378 -0.00779937 -0.00408187 -0.00237838 -0.00071005  0.00002362  0.00098274  0.00292589  0.00518821  0.00943189  0.01427625  0.00024403 0.00432326   3.97423303  117.02835674           6886
     PLN -0.02042210 -0.01634052 -0.01177894 -0.00865513 -0.00422992 -0.00024401  0.00385379  0.00869941  0.01242853  0.01752998  0.02258129 -0.00001793 0.00790074   0.15903184    5.12852400           6886
     PTE -0.01553210 -0.01318494 -0.00995647 -0.00724502 -0.00345298  0.00000000  0.00335141  0.00728488  0.01015303  0.01310205  0.01593976 -0.00002949 0.00614050  -0.14723562    2.53662939           4805
     PYG -0.01847250 -0.01419806 -0.00867223 -0.00514386 -0.00138639  0.00000012  0.00180392  0.00527366  0.00875221  0.01380696  0.01797394  0.00008979 0.00643516  -1.39975630   55.58651255           6886
     QAR -0.00212064 -0.00122913 -0.00052792 -0.00024081 -0.00006509  0.00000094  0.00006921  0.00025714  0.00054600  0.00121546  0.00189428 -0.00000001 0.00078273  -0.84052660   82.39602029           6886
     ROL -0.01868035 -0.01436623 -0.00954862 -0.00569367 -0.00125837  0.00065401  0.00220040  0.00627255  0.00936995  0.01320288  0.01574089  0.00035519 0.00588680  -0.80565768    8.35357109           1433
     RON -0.01773203 -0.01407695 -0.00965863 -0.00682682 -0.00292926  0.00024987  0.00308880  0.00703543  0.00996768  0.01452125  0.01844378  0.00013249 0.00654551  -0.31471577   12.45454700           6886
     RSD -0.01641029 -0.01308192 -0.00939425 -0.00683957 -0.00312366  0.00004807  0.00321443  0.00700465  0.00995127  0.01376943  0.01678150  0.00008919 0.00637821  -1.21370220   28.09073559           5746
     RUB -0.02810364 -0.01953997 -0.01228323 -0.00749075 -0.00259101  0.00000000  0.00277096  0.00804707  0.01246896  0.02045996  0.02776686  0.00014010 0.01079298   1.88831321   89.34702499           6886
     RWF -0.01856351 -0.01268503 -0.00797842 -0.00455107 -0.00043542  0.00006371  0.00089512  0.00467475  0.00841330  0.01424995  0.02018140  0.00021475 0.00608000   2.64747012   70.05337307           6886
     SAR -0.00103510 -0.00073615 -0.00040431 -0.00022870 -0.00007640  0.00000058  0.00007710  0.00022689  0.00038594  0.00071352  0.00103499  0.00000010 0.00034413   0.40744182   51.89401772           6886
     SBD -0.03019962 -0.02193606 -0.01293374 -0.00855666 -0.00351748  0.00000000  0.00358814  0.00847814  0.01289790  0.02208626  0.03115624  0.00006850 0.01136298  -0.42973239   64.45172732           6886
     SCR -0.03921675 -0.02693885 -0.01712925 -0.01091459 -0.00387492  0.00000056  0.00397821  0.01105144  0.01785824  0.02864868  0.03998615  0.00015325 0.01497680   5.33654850  208.66685233           6886
     SDD -0.02009284 -0.01417892 -0.01009687 -0.00715595 -0.00288114 -0.00000961  0.00305033  0.00751289  0.01041839  0.01517161  0.02005074 -0.00000753 0.00771137  -0.95665514   20.32434922           3077
     SDG -0.00610181 -0.00351559 -0.00176271 -0.00066016 -0.00007593  0.00000000  0.00007912  0.00080998  0.00185345  0.00554313  0.01295094  0.00142403 0.03971775  37.79876708 1617.90740566           3801
     SEK -0.01879997 -0.01569216 -0.01117181 -0.00830042 -0.00397982  0.00005601  0.00407691  0.00820431  0.01134796  0.01543434  0.01830994  0.00001459 0.00712855  -0.15695397    3.06382028           6886
     SGD -0.00856759 -0.00672290 -0.00492506 -0.00356815 -0.00173092 -0.00005717  0.00165971  0.00350627  0.00490978  0.00680810  0.00842757 -0.00003761 0.00317173  -0.08746509    4.60742903           6886
     SIT -0.01601172 -0.01374097 -0.00999280 -0.00696571 -0.00297919  0.00000000  0.00299024  0.00693283  0.00997602  0.01396025  0.01702254  0.00000927 0.00615364  -0.03604049    3.78166660           4805
     SKK -0.01601255 -0.01411997 -0.01077771 -0.00782647 -0.00371651 -0.00002935  0.00358351  0.00768528  0.01056085  0.01380424  0.01669123 -0.00010015 0.00648061  -0.13727374    2.15249311           4805
     SLL -0.03417926 -0.01925610 -0.00944629 -0.00521887 -0.00108283  0.00000000  0.00128211  0.00628297  0.01082853  0.02097509  0.03954221  0.00036100 0.01332109   2.07262738  133.74255019           6886
     SOS -0.02253373 -0.01509034 -0.00936827 -0.00565735 -0.00163201 -0.00000066  0.00129003  0.00510757  0.00879202  0.01335628  0.01928054 -0.00021649 0.00669035   0.15261270   28.13553756           6886
     SRD -0.01431604 -0.01066807 -0.00512574 -0.00278323 -0.00084861  0.00000325  0.00096292  0.00316113  0.00599055  0.01279104  0.01902202  0.00046170 0.01234571  32.50448292 1491.03743599           5842
     SRG -0.01960382 -0.01330949 -0.00879767 -0.00600243 -0.00235692 -0.00000479  0.00251492  0.00656790  0.00948753  0.01324749  0.01877622  0.00109114 0.02709199  26.86181171  798.42023482           1043
     STD -0.02190421 -0.01424845 -0.00877908 -0.00588933 -0.00227718 -0.00000077  0.00219714  0.00613469  0.00931099  0.01430138  0.02202103  0.00031823 0.01667879  34.57791649 1730.90016945           6886
     SVC -0.01184013 -0.00876547 -0.00515096 -0.00171033 -0.00004330  0.00000000  0.00004359  0.00184361  0.00513522  0.00908417  0.01139791  0.00000116 0.00334284  -0.03185318   16.22491915           6886
     SYP -0.01210604 -0.00684302 -0.00262251 -0.00101694 -0.00013269 -0.00000032  0.00006150  0.00140412  0.00407353  0.00925828  0.01482394  0.00013154 0.06305533 -52.95004504 4214.86387940           6886
     SZL -0.02868756 -0.02142434 -0.01533627 -0.01150730 -0.00572129 -0.00000559  0.00557309  0.01198957  0.01691242  0.02379765  0.03116416  0.00014277 0.01288746   0.56708272  259.44003713           6886
     THB -0.01056752 -0.00832443 -0.00590723 -0.00410250 -0.00183257 -0.00005610  0.00183256  0.00409891  0.00595206  0.00838205  0.01018422 -0.00001796 0.00389604   0.39932432   15.85107459           6886
     TJS -0.01820445 -0.01396546 -0.00884272 -0.00538310 -0.00141077  0.00000670  0.00162511  0.00636566  0.00951486  0.01375503  0.01849527  0.00021032 0.00662547   2.88756522   64.07898166           5709
     TND -0.01359197 -0.01093315 -0.00778217 -0.00550212 -0.00245737  0.00005062  0.00273573  0.00577266  0.00788935  0.01070066  0.01333617  0.00012109 0.00503228   0.18337086    5.49972531           6886
     TOP -0.02319314 -0.01766902 -0.01107508 -0.00664239 -0.00164829  0.00000079  0.00174412  0.00681473  0.01076721  0.01797359  0.02419707  0.00006402 0.00823219   2.51196103   84.23833632           6886
     TRL -0.03127347 -0.02134564 -0.01367046 -0.01011093 -0.00434051  0.00008661  0.00406164  0.01059551  0.01698410  0.02933847  0.03842169  0.00065505 0.01645369   9.03493915  215.41996127           1359
     TRY -0.02350865 -0.01727087 -0.01165922 -0.00808701 -0.00313066  0.00034829  0.00370131  0.00923550  0.01426379  0.02186378  0.02997737  0.00064525 0.01171713   1.55676307  298.11182739           6886
     TTD -0.01523949 -0.01257019 -0.00810309 -0.00528440 -0.00149865  0.00000013  0.00163179  0.00505046  0.00780354  0.01229808  0.01517870  0.00001245 0.00544977   0.19025853   14.55522170           6886
     TWD -0.00874915 -0.00701249 -0.00496504 -0.00330205 -0.00135990  0.00001042  0.00147051  0.00333256  0.00473276  0.00658980  0.00839944  0.00000033 0.00333328  -0.93270344   31.35259295           6886
     TZS -0.01359579 -0.01002791 -0.00588943 -0.00323127 -0.00056063  0.00000086  0.00100965  0.00386396  0.00645347  0.01057960  0.01533119  0.00017157 0.00546122  -1.31978773  105.57410992           6886
     UAH -0.02294982 -0.01482335 -0.00707754 -0.00406614 -0.00099241  0.00000254  0.00122933  0.00441117  0.00850577  0.01820358  0.02621047  0.00031100 0.01094409   6.06093307  325.68457079           6886
     UGX -0.01547017 -0.01097106 -0.00605590 -0.00363320 -0.00099681  0.00000000  0.00112571  0.00417344  0.00685635  0.01216780  0.01674096  0.00013344 0.00571943   0.13384115   49.82557957           6886
     USD  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 0.00000000   0.00000000    0.00000000           6886
     UYU -0.02135656 -0.01506351 -0.00912319 -0.00518053 -0.00158031  0.00000000  0.00164692  0.00549795  0.00944415  0.01762346  0.02568666  0.00017946 0.00757159   2.08522135   60.38923273           6886
     UZS -0.01682590 -0.01245400 -0.00877805 -0.00594525 -0.00218702  0.00002703  0.00247349  0.00670904  0.00988654  0.01477725  0.02020609  0.00042245 0.01067747  34.18724298 2072.59265336           6882
     VEB -0.02719862 -0.01591243 -0.00660130 -0.00245895 -0.00054644  0.00005824  0.00090856  0.00372267  0.01039918  0.02115472  0.03453041  0.00061703 0.01102333   3.70733057  139.74364193           2415
     VEF -0.01221069 -0.00586767 -0.00204888 -0.00109401 -0.00019491  0.00000218  0.00045499  0.00137456  0.00279779  0.01149815  0.02711159  0.00265114 0.11377402  67.19584594 4615.43267265           4844
     VES -0.02338790 -0.01483146 -0.00595383 -0.00205591 -0.00002408  0.00132700  0.00775367  0.01928592  0.03810478  0.09069533  0.16791041  0.00312749 0.31226187 -40.96118566 1837.85845122           2080
     VND -0.00680538 -0.00427479 -0.00242928 -0.00135506 -0.00036789  0.00000929  0.00047220  0.00145418  0.00259784  0.00488643  0.00837221  0.00009137 0.00476532   0.94535743  329.91423681           6886
     VUV -0.02724795 -0.02256737 -0.01433236 -0.00799850 -0.00256629 -0.00000060  0.00266028  0.00776411  0.01400971  0.02247622  0.02856742 -0.00001407 0.00899619  -0.37717928   11.96240546           6886
     WST -0.03628257 -0.02805400 -0.01796998 -0.01001471 -0.00255837 -0.00000000  0.00245510  0.01044293  0.01756520  0.02842739  0.03573357 -0.00001916 0.01133644   0.18579159   11.04909490           6886
     XAF -0.01690409 -0.01406696 -0.01009217 -0.00729274 -0.00343648 -0.00000686  0.00337801  0.00720913  0.01007086  0.01350816  0.01668509 -0.00002067 0.00635488   0.04857511    4.10588608           6886
     XCD -0.01601517 -0.01167660 -0.00738564 -0.00415998 -0.00026565  0.00000002  0.00038109  0.00404636  0.00723684  0.01141831  0.01566819  0.00000425 0.00527272   0.51434315   33.01173850           6886
     XOF -0.01626039 -0.01341719 -0.00968394 -0.00698394 -0.00321390  0.00002726  0.00312290  0.00678545  0.00978092  0.01309665  0.01595370 -0.00001959 0.00621167   0.09502581   18.94001715           6886
     XPF -0.01993994 -0.01570444 -0.01042964 -0.00724210 -0.00309770 -0.00000722  0.00305177  0.00718639  0.01055553  0.01585919  0.02112280 -0.00001982 0.00718336   0.09285332   10.27747535           6886
     YER -0.01300637 -0.00904508 -0.00568179 -0.00333484 -0.00047925 -0.00000023  0.00047064  0.00334514  0.00566925  0.00991624  0.01334180  0.00005935 0.00496521   4.18423190  156.96092214           6886
     YUD -0.02502520 -0.01746342 -0.01124833 -0.00800512 -0.00360871 -0.00018000  0.00334052  0.00751772  0.01063764  0.01828592  0.02660539  0.00155014 0.05409331  30.93351911  977.06797397           1019
     ZAR -0.02482937 -0.01972673 -0.01493549 -0.01124333 -0.00583859 -0.00010410  0.00560154  0.01187377  0.01669865  0.02256990  0.02734875  0.00014315 0.01007255   0.27220416    4.53108502           6886
     ZMK -0.03561319 -0.02651612 -0.01681243 -0.01139983 -0.00438075  0.00000084  0.00487489  0.01189787  0.01810429  0.02738684  0.03437668  0.00020985 0.01237145  -0.79949886   16.02203023           3382
     ZMW -0.03421945 -0.02115560 -0.01220071 -0.00717404 -0.00171632  0.00057621  0.00374184  0.00763708  0.01108590  0.01684511  0.02146256  0.00034115 0.00947633  -1.40282443   37.37184468           4016
     ZWD -0.01454473 -0.01015949 -0.00571011 -0.00261811 -0.00007970  0.00000005  0.00060606  0.00537652  0.01203500  0.05507212  0.12495827  0.00044715 0.29464521 -24.75519465 1007.13686688           5013
     ZWL -0.01316106 -0.01041768 -0.00712086 -0.00475875 -0.00169814 -0.00000981  0.00180302  0.00482849  0.00733211  0.01026302  0.01307342 -0.00003191 0.00523749  -7.95348504  242.55752406           3562
